,Car_Price,Vehicle_Age,KM_Travelled,Fuel_Type,HP,Paint_Type,Transmission_Type,Engine_Size,Doors,Weight,Age_Group
94,18900,20,31850,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1120.0,Old
95,19950,17,30351,Diesel,90,Metallic,Manual,1995,ثلاثة,1260.0,Old
96,15950,19,29435,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
97,15950,19,25948,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
98,18750,11,24500,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
99,17450,18,23902,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
100,18990,20,23175,Petrol,110,Metallic,Manual,1600,ثلاثة,1120.0,Old
101,16250,19,19200,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
102,18500,13,18000,Petrol,71,Non-Metallic,Manual,1400,ثلاثة,1125.0,Old
103,18500,11,16123,Petrol,110,Metallic,Manual,1600,ثلاثة,1105.0,Old
104,19450,11,14635,Petrol,110,Metallic,Auto,1600,ثلاثة,1155.0,Old
105,16950,55,13748,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
106,18800,14,11500,Petrol,110,Metallic,Manual,1600,ثلاثة,1045.0,Old
107,17450,17,10000,Petrol,97,Metallic,Manual,1400,ثلاثة,1100.0,Old
108,17950,20,7187,Petrol,110,Metallic,Manual,1600,ثلاثة,1105.0,Old
109,32500,55,1,Petrol,116,Non-Metallic,Manual,2000,خمسة,1480.0,Old
110,31000,4,4000,Diesel,116,Metallic,Manual,2000,خمسة,1480.0,New
111,31275,4,1500,Diesel,116,Metallic,Manual,2000,خمسة,1480.0,New
112,24950,8,11000,Diesel,116,Metallic,Manual,2000,خمسة,1320.0,Moderate
113,24950,8,13253,Diesel,116,Metallic,Manual,2000,خمسة,1320.0,Moderate
114,22950,7,10000,Diesel,116,Metallic,Manual,2000,خمسة,1270.0,Moderate
115,24990,8,6000,Diesel,90,Metallic,Manual,2000,خمسة,1280.0,Moderate
116,21950,8,10841,Petrol,90,Metallic,Manual,2000,خمسة,1270.0,Moderate
117,17900,55,1,Petrol,110,Metallic,Manual,1600,ثلاثة,1105.0,Old
118,19250,20,63000,Diesel,90,Metallic,Manual,2000,خمسة,1255.0,Old
119,22250,55,57313,Petrol,110,Metallic,Manual,2000,خمسة,1275.0,Old
120,18950,13,57037,Petrol,110,Non-Metallic,Manual,1600,خمسة,1115.0,Old
121,19950,19,51099,Petrol,90,Metallic,Manual,2000,خمسة,1255.0,Old
122,16350,14,40010,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Old
123,18950,20,39115,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
124,16950,17,36012,Petrol,110,Non-Metallic,Manual,1600,خمسة,1130.0,Old
125,21750,16,11000,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
126,15950,20,36000,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
127,16500,20,35000,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
128,17950,17,33740,Petrol,97,Metallic,Manual,1400,خمسة,1135.0,Old
129,15850,13,33477,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
130,16250,20,32627,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
131,15950,20,11000,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
132,16250,19,29441,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
133,15950,13,29371,Petrol,110,Metallic,Manual,1600,أربعة,1105.0,Old
134,16500,20,29000,Petrol,97,Non-Metallic,Manual,1400,خمسة,1110.0,Old
135,16500,19,27821,Petrol,97,Non-Metallic,Manual,1400,خمسة,1110.0,Old
136,18450,19,27371,Petrol,97,Non-Metallic,Manual,1400,خمسة,1135.0,Old
137,16250,13,25170,Petrol,110,Metallic,Manual,1600,خمسة,1105.0,Old
138,23000,11,25000,Diesel,116,Metallic,Manual,2000,خمسة,1320.0,Old
139,19900,20,23000,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
140,16450,20,22588,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
141,23950,19,21684,Petrol,192,Metallic,Manual,1800,خمسة,1185.0,Old
142,19950,13,21428,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
143,18500,16,20629,Petrol,110,Metallic,Manual,1600,أربعة,1090.0,Old
144,18950,15,20270,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
145,16450,16,20105,Petrol,97,Non-Metallic,Manual,1400,خمسة,1110.0,Old
146,20500,20,20000,Petrol,110,Non-Metallic,Auto,1600,خمسة,1165.0,Old
147,24500,13,19988,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
148,19450,19,18328,Petrol,110,Non-Metallic,Manual,1600,خمسة,1130.0,Old
149,20950,14,17896,Petrol,110,Metallic,Auto,1600,أربعة,1150.0,Old
150,17200,20,17300,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
151,19950,19,17038,Petrol,110,Non-Metallic,Manual,1600,خمسة,1130.0,Old
152,18450,10,13747,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Moderate
153,19500,12,13634,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Old
154,21750,13,13178,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
155,16868,15,13157,Petrol,97,Metallic,Manual,1400,أربعة,1085.0,Old
156,19500,16,13000,Petrol,110,Metallic,Manual,1600,أربعة,1105.0,Old
157,18900,11,12500,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Old
158,19750,17,11999,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
159,19750,16,11754,Petrol,110,Non-Metallic,Auto,1600,خمسة,1180.0,Old
160,18950,16,11000,Petrol,110,Metallic,Manual,1600,أربعة,1105.0,Old
161,20750,17,10000,Petrol,110,Non-Metallic,Manual,1598,خمسة,1105.0,Old
162,19600,9,7650,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Moderate
163,19500,14,6500,Petrol,110,Metallic,Manual,1600,أربعة,1100.0,Old
164,17650,11,6155,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Old
165,19950,14,6000,Petrol,110,Non-Metallic,Manual,1600,خمسة,1130.0,Old
166,19950,14,5459,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
167,20950,14,5278,Petrol,110,Metallic,Auto,1600,أربعة,1150.0,Old
168,20500,12,5000,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
169,17795,9,1,Petrol,98,Metallic,Manual,1400,أربعة,1065.0,Moderate
170,18245,9,1,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Moderate
171,23750,8,11000,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Moderate
172,19500,8,10077,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Moderate
173,18950,8,10000,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Moderate
174,21950,8,9788,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Moderate
175,19950,8,8574,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Moderate
176,18950,8,7000,Petrol,110,Non-Metallic,Manual,1600,خمسة,1115.0,Moderate
177,19950,7,6250,Petrol,110,Metallic,Manual,1600,خمسة,1115.0,Moderate
178,21950,8,5000,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Moderate
179,22500,6,3000,Petrol,110,Non-Metallic,Manual,1600,خمسة,1130.0,Moderate
180,18500,7,2000,Petrol,110,Non-Metallic,Manual,1600,خمسة,1075.0,Moderate
181,18700,7,450,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,Moderate
182,21125,2,225,Petrol,97,Metallic,Manual,1400,خمسة,1110.0,New
183,21500,55,15,Petrol,110,Metallic,Manual,1600,خمسة,1130.0,Old
184,17795,1,1,Petrol,98,Metallic,Manual,1400,أربعة,1100.0,New
185,18245,1,1,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,New
186,6950,43,243000,Diesel,69,Non-Metallic,Manual,1900,ثلاثة,1110.0,Old
187,9500,38,180638,Diesel,90,Non-Metallic,Manual,2000,أربعة,1160.0,Old
188,11950,40,179860,Diesel,90,Metallic,Manual,2000,خمسة,1205.0,Old
189,7750,43,178858,CNG,110,Non-Metallic,Manual,1600,ثلاثة,1084.0,Old
190,11950,40,161000,Diesel,69,Metallic,Manual,1900,ثلاثة,1105.0,Old
191,4350,44,158320,Diesel,69,Non-Metallic,Manual,1800,خمسة,1110.0,Old
192,4750,44,131273,Diesel,69,Metallic,Manual,1800,خمسة,1110.0,Old
193,11750,40,130062,Diesel,69,Metallic,Manual,1900,خمسة,1140.0,Old
194,13250,41,123425,Diesel,69,Metallic,Manual,1900,خمسة,1140.0,Old
195,11950,37,118217,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
196,11900,44,110000,Diesel,69,Metallic,Manual,1900,خمسة,1095.0,Old
197,14750,39,108847,Diesel,90,Metallic,Manual,2000,خمسة,1205.0,Old
198,9950,42,105699,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
199,11950,55,98823,CNG,110,Metallic,Manual,1600,خمسة,1119.0,Old
200,11495,44,96829,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
201,11250,40,96518,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
202,10500,42,92204,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
203,10450,35,91456,Diesel,69,Metallic,Manual,1900,ثلاثة,1110.0,Old
204,12950,43,89968,Diesel,69,Metallic,Manual,1900,خمسة,1140.0,Old
205,11500,44,89757,Petrol,110,Metallic,Manual,1600,ثلاثة,1045.0,Old
206,12500,40,85389,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
207,10950,43,85017,Petrol,97,Non-Metallic,Manual,1400,خمسة,1060.0,Old
208,11450,41,84312,Petrol,110,Non-Metallic,Manual,1600,خمسة,1080.0,Old
209,11950,37,82743,CNG,110,Metallic,Manual,1600,خمسة,1121.0,Old
210,13250,41,81106,Diesel,69,Metallic,Manual,1900,خمسة,1140.0,Old
211,14750,40,80425,Diesel,90,Metallic,Manual,2000,خمسة,1205.0,Old
212,11790,34,78677,Petrol,110,Metallic,Auto,1600,خمسة,1105.0,Old
213,11450,40,78425,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
214,13500,33,78108,Diesel,90,Metallic,Manual,2000,ثلاثة,1170.0,Old
215,10950,33,77321,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
216,13500,33,75699,Diesel,69,Non-Metallic,Manual,1900,ثلاثة,1105.0,Old
217,10950,41,75697,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
218,10950,44,74846,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
219,12950,38,74319,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
220,11950,55,74285,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
221,12450,44,74172,Petrol,110,Metallic,Manual,1600,خمسة,1615.0,Old
222,11950,40,73042,Petrol,110,Metallic,Manual,1598,خمسة,1075.0,Old
223,14950,44,71793,CNG,110,Metallic,Manual,1600,أربعة,1067.0,Old
224,12450,35,71200,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
225,12950,38,67805,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
226,11950,55,65988,Petrol,110,Metallic,Manual,1600,ثلاثة,1040.0,Old
227,11690,55,65345,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
228,12450,42,64564,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
229,12750,36,63459,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
230,11925,55,63451,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1025.0,Old
231,12950,33,62000,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
232,11950,42,61300,Petrol,97,Metallic,Manual,1400,ثلاثة,1030.0,Old
233,12900,41,61200,Petrol,110,Metallic,Manual,1600,ثلاثة,1045.0,Old
234,11900,41,61000,Petrol,110,Non-Metallic,Manual,1600,خمسة,1075.0,Old
235,11650,38,60829,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
236,10950,44,60500,Petrol,110,Non-Metallic,Manual,1600,خمسة,1075.0,Old
237,13950,35,59500,Diesel,69,Metallic,Manual,1900,ثلاثة,1110.0,Old
238,13950,44,59000,Petrol,110,Non-Metallic,Auto,1600,خمسة,1110.0,Old
239,11950,40,58954,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
240,10950,38,58798,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
241,12450,38,58363,Petrol,110,Metallic,Manual,1600,ثلاثة,1055.0,Old
242,11950,43,58277,Petrol,110,Metallic,Manual,1600,ثلاثة,1045.0,Old
243,13500,33,57711,Diesel,90,Metallic,Manual,2000,ثلاثة,1165.0,Old
244,11690,33,57269,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
245,13500,39,56001,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
246,11950,42,55968,Petrol,110,Metallic,Manual,1600,ثلاثة,1050.0,Old
247,12900,55,55678,Petrol,110,Metallic,Manual,1600,أربعة,1030.0,Old
248,13500,43,55539,Petrol,110,Metallic,Manual,1600,خمسة,1085.0,Old
249,11750,42,55400,Petrol,110,Non-Metallic,Manual,1600,خمسة,1075.0,Old
250,11750,33,55350,Petrol,110,Non-Metallic,Manual,1600,خمسة,1075.0,Old
251,10850,43,54600,Petrol,110,Non-Metallic,Manual,1600,أربعة,1030.0,Old
252,11750,43,53773,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
253,14950,42,53719,Petrol,110,Metallic,Auto,1600,خمسة,1105.0,Old
254,9940,39,53644,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
255,12900,42,53350,Petrol,110,Non-Metallic,Manual,1600,خمسة,1075.0,Old
256,13500,38,53000,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
257,11750,44,52084,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
258,11950,44,52000,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1025.0,Old
259,13450,33,51945,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
260,11950,41,51732,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
261,12495,39,50873,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
262,13500,41,50856,Petrol,110,Non-Metallic,Manual,1600,أربعة,1030.0,Old
263,12750,40,50640,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
264,12000,39,50000,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
265,11950,38,49500,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
266,12495,44,49332,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
267,12450,34,49291,Petrol,110,Metallic,Manual,1600,ثلاثة,1040.0,Old
268,14750,40,48952,Diesel,90,Metallic,Manual,2000,خمسة,1205.0,Old
269,10950,39,48945,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1040.0,Old
270,13500,33,48928,Diesel,69,Metallic,Manual,1900,ثلاثة,1105.0,Old
271,12950,38,48197,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
272,13500,35,48052,Diesel,69,Metallic,Manual,1900,ثلاثة,1105.0,Old
273,13450,55,48011,Petrol,110,Metallic,Manual,1600,أربعة,1030.0,Old
274,13500,43,48000,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
275,11480,41,47350,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
276,13450,39,46821,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
277,11495,39,46694,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1040.0,Old
278,12750,43,46515,Petrol,97,Non-Metallic,Manual,1400,خمسة,1025.0,Old
279,14990,38,46327,Petrol,110,Metallic,Manual,1600,ثلاثة,1055.0,Old
280,12950,35,46304,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
281,12950,40,45886,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
282,12850,39,45713,Petrol,97,Metallic,Manual,1400,خمسة,1085.0,Old
283,13950,40,45600,Petrol,110,Metallic,Auto,1600,خمسة,1105.0,Old
284,11950,41,45287,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
285,12950,39,45081,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
286,11700,40,44830,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
287,9950,37,44757,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
288,11895,44,44218,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
289,12950,43,43632,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
290,12500,36,43427,Petrol,110,Metallic,Manual,1600,ثلاثة,1040.0,Old
291,13875,39,43254,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
292,10500,35,43000,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1050.0,Old
293,12295,33,42823,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
294,13950,42,42560,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
295,10950,38,41754,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1040.0,Old
296,12950,44,41499,CNG,110,Metallic,Manual,1600,خمسة,1103.0,Old
297,12850,40,41339,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
298,13995,35,41000,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
299,13750,39,40000,Petrol,110,Metallic,Manual,1600,ثلاثة,1055.0,Old
300,12750,37,39757,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
301,12500,41,39659,Petrol,110,Metallic,Manual,1600,ثلاثة,1045.0,Old
302,13950,43,39650,Petrol,110,Non-Metallic,Manual,1600,ثلاثة,1055.0,Old
303,11500,39,39524,Petrol,97,Metallic,Manual,1398,ثلاثة,1025.0,Old
304,13950,44,39516,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
305,11895,41,39439,Petrol,97,Non-Metallic,Manual,1400,خمسة,1060.0,Old
306,9950,44,39000,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
307,13500,42,38932,Petrol,110,Metallic,Manual,1600,ثلاثة,1040.0,Old
308,11450,37,38812,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
309,12450,42,38665,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
310,12950,40,38653,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
311,13995,44,38461,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
312,11750,42,38078,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1025.0,Old
313,11650,39,37782,Petrol,97,Metallic,Manual,1400,خمسة,1060.0,Old
314,9950,43,37576,Petrol,97,Non-Metallic,Manual,1400,ثلاثة,1030.0,Old
315,13950,41,37533,Petrol,110,Metallic,Manual,1600,خمسة,1075.0,Old
316,12950,44,37389,Petrol,110,Metallic,Manual,1600,خمسة,1080.0,Old
317,10950,38,37320,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
318,9900,42,37000,Petrol,97,Metallic,Manual,1400,ثلاثة,1025.0,Old
